id,medicament_id,forme,dosage
141,21,EZETIMIBE/ATORVASTATINE ZENTIVA 10 mg/80 mg Cpr pell Plq/30 | Cip : 3400930284698 ; Modalités de conservation : Avant ouverture : durant 30 mois | Statut: Commercialisé,10 mg/80 mg Cpr pell Plq/30
142,21,EZETIMIBE/ATORVASTATINE ZENTIVA 10 mg/80 mg Cpr pell Plq/90 | Cip : 3400930284704 ; Modalités de conservation : Avant ouverture : durant 30 mois | Statut: Commercialisé,10 mg/80 mg Cpr pell Plq/90
143,21,EZETIMIBE/ATORVASTATINE ZENTIVA 10 mg/40 mg Cpr pell Plq/30 | Cip : 3400930284667 ; Modalités de conservation : Avant ouverture : durant 30 mois | Statut: Commercialisé,10 mg/40 mg Cpr pell Plq/30
144,21,EZETIMIBE/ATORVASTATINE ZENTIVA 10 mg/40 mg Cpr pell Plq/90 | Cip : 3400930284674 ; Modalités de conservation : Avant ouverture : durant 30 mois | Statut: Commercialisé,10 mg/40 mg Cpr pell Plq/90
145,21,EZETIMIBE/ATORVASTATINE ZENTIVA 10 mg/20 mg Cpr pell Plq/30 | Cip : 3400930284636 ; Modalités de conservation : Avant ouverture : durant 30 mois | Statut: Commercialisé,10 mg/20 mg Cpr pell Plq/30
146,21,EZETIMIBE/ATORVASTATINE ZENTIVA 10 mg/20 mg Cpr pell Plq/90 | Cip : 3400930284643 ; Modalités de conservation : Avant ouverture : durant 30 mois | Statut: Commercialisé,10 mg/20 mg Cpr pell Plq/90
147,21,EZETIMIBE/ATORVASTATINE ZENTIVA 10 mg/10 mg Cpr pell Plq/30 | Cip : 3400930284605 ; Modalités de conservation : Avant ouverture : durant 30 mois | Statut: Commercialisé,10 mg/10 mg Cpr pell Plq/30
148,21,EZETIMIBE/ATORVASTATINE ZENTIVA 10 mg/10 mg Cpr pell Plq/90 | Cip : 3400930284612 ; Modalités de conservation : Avant ouverture : durant 30 mois | Statut: Commercialisé,10 mg/10 mg Cpr pell Plq/90
149,22,comprimé (blanc) ; boîte de 30,10 mg/10 mg
150,22,comprimé (blanc) ; boîte de 90,10 mg/10 mg
151,22,comprimé (blanc) ; boîte de 30,10 mg/20 mg
152,22,comprimé (blanc) ; boîte de 90,10 mg/20 mg
153,22,comprimé (blanc) ; boîte de 30,10 mg/40 mg
154,22,comprimé (blanc) ; boîte de 90,10 mg/40 mg
155,22,comprimé (blanc) ; boîte de 30,10 mg/80 mg
